Title,Date,Date Start,Date End,Language,Resource Type,Genre,Number of Items
Miscellaneous American letters and papers.,,,,,still image,,86
Thomas Kelah Wharton diaries and sketchbook,1830,1830,1862,,,,68
"Abraham Lincoln collection, 1847-1864",1842,1842,1864,English,text | still image,Archival materials,28
Tarjumah-i Suwar al-kawâkib = A Translation of The Patterns of the Stars.,1040-1042 [1630-1633],1040,,,still image,,1
Maps of Asia,,,,,,,64
"Under the Red Cross flag at home and abroad : base hospital unit #44, evacuation hospital #5",1918,1918,1919,,still image | text,Drawings | Photographs | Diaries,97
Historiae naturalis de quadrupetibus libri.,1655,1655,,,still image,Engravings,76
"Frank E. Downs. Trip to Nome, Alaska, May to Sept. 1900. [An album of mounted photographs.]",1903-[19]04,1903,,,still image,,96
Haiti: Miscellaneous Collections,1785,1785,1970,French,text | still image,Documents | Correspondence,53
Africans at home; being a popular description of Africa and the Africans condensed from the accounts of African travellers from the time of Mungo Park to the present day,1861,1861,,English,text,Books | Illustrations,36
"Interborough rapid transit; the New York subway, its construction and equipment.",1904,1904,,,still image,Halftone photomechanical prints,96
The highlands of the Hudson.,1914,1914,,,,,74
Chinese rice paper paintings.,1850,1850,,,still image,,63
Yiddish theater placards,,,,,,,27
Assortment of photographs of Palestine and Jerusalem.,ca. 1870-ca. 1900,1870,,,still image,Photographs,36
Newest styles for men.,,,,,still image,Halftone photomechanical prints,95
"Opisanie vsekh obitaiushchikh v rossiiskom gosudarstve narodov : Ikh zhiteiskikh obriadov, obyknovenii, odezhd, zhilishch, uprazhnenii, zabav, vieroispoviedanii i drugikh dostopamiatnostei...",1799,1799,,,still image,,95
A Pictorial description of Broadway,1899,1899,,,still image,,94
"Views of the Estrada de Ferro Madeira e Mamore Amazonas & Matto Grosso, Brazil S.A.",1909,1909,1912,,still image,,94
M. William Shak-speare: His True Chronicle Historie of thelife and death of King Lear and his three Daughters.,1608,1608,,,,,94
"The bronze ornaments of the palace gates of Balawat (Shalmaneser II, B.C. 859-825) edited, with an introduction by Samuel Birch ; with descriptions and translations by Theophilus G. Pinches.",1880-[1902],1880,,,still image,,94
"Les arts arabes: architecture--menuiserie--bronzes--plafonds--revêtements--marbres--pavements--vitraux--etc. Avec une table descriptive et explicative, et le trait général de l'art arabe, par Jules Bourgoin.",1873,1873,,,still image,Engravings,1
Japanese Color Woodcuts by Kitagawa Utamaro,,,,,still image,Prints,36
"Monuments Égyptiens, bas-reliefs, peintures, inscriptins, etc., d'après les dessins exécutés sur les lieux par E. Prisse d'Avennes, pour faire suite aux Monuments de l'Égypte et de la Nubie de Champollion-le-jeune; ouvrage pub. sous les auspices de M. le comte de Salvandy.",1847,1847,,,still image,Lithographs,54
"Ninive et l'Assyrie, par Victor Place ...",1867,1867,1870,,still image,Etchings,90
William J. Wilgus papers,1895,1895,1947,,still image,,12
"Pantheon egyptien : collection des personnages mythologiques de l'ancienne Egypte, d'apres les monuments, avec un texte explicatif",1823-[1825?],1823,,,still image,,90
"Usines Delahaye; collaboration des femmes a la defense nationale,  guerre europeenne.",1916,1916,,French,still image,Photographs,36
Magic Scrapbooks: separated posters,,,,,still image,Posters,20
"Men of mark: eminent, progressive and rising",1887,1887,,,still image,,88
Men of mark.,1913,1913,,English,still image,Portraits | Books,36
Album of Turkish Costume Paintings.,1223-1242 [1808-1826],1223,,,still image,Watercolors,87
Oeyama Shuten Doji = The Tale of Shuten Doji,2nd half of the 17th cent.,,,Japanese,text | still image,Scrolls (Visual works) | Illustrations,86
Sporting sketches : consisting of subjects relating to sports of ... the whole illustrative of landscape scenery,1817-08-01,1817,,,still image,Lithographs -- Hand-colored,62
L'animal dans la décoration,1897,1897,,,still image,Chromolithographs,62
Photographs of Indians of the southwest and the plains,c1905-1914,1905,,,still image,Gelatin silver prints,1
"John Bigelow papers, 1839-1912",1839,1839,1912,English,text,Archival materials,46
"The pyramids of Gizeh, from actual survey and admeasurement, by J. E. [!] Perring. Illustrated by notes and references to the several plans, with sketches taken on the spot by E. J. Andrews.",1839,1839,1842,,still image,Lithographs,62
Stratemeyer Syndicate records,1832,1832,1984,,mixed material,Archival materials | Correspondence | Photographs,1
"Photographs of Ellis Island, 1902-1913.",1902,1902,1913,,still image,Gelatin silver prints,46
"Milton, a poem in 2 books.",1804 [i.e. 1808?],1804,,,still image,Etchings -- Hand-colored,49
1913 supplement to the World's loose leaf album of apartment houses...,1913,1913,,,,,48
Modern plumbing No. 6,1911,1911,,English,still image | text,Trade catalogs,48
Cités et Ruines Americaines. Atlas.,1862,1862,1863,French,still image,Photographs,47
"The costume of Yorkshire, illustrated by a series of forty engravings, being fac-similes of original drawings. With descriptions in English and French.",1814,1814,,English | French,still image,Prints,42
"An illustration of the Egyptian, Grecian, and Roman costume : in forty outlines with descriptions .",1814,1814,,English,still image | text,Books | Prints,42
More men of mark.,1922,1922,,,still image,Photographs | Portraits,36
"Qur'ân, fragment. (Sûrat al-Naba')",1333,1333,,Arabic,text,"Manuscripts, Arabic",41
"Reise zum Tempel des Jupiter Ammon, in der Libyschen Wüste, und nach Ober-Aegypten in den Jahren 1820 und 1821/ von Heinrich Freiherrn von Minutoli ... ; nach den Tagebüchern sr. Excellenz hrsg. und mit Beilagen begleitet von E. H. Toelken ... ; mit einem Atlas von 38 Tafeln und einer Karte des Karavanenzuges",1824,1824,,,still image,Prints,41
"Le Sérapéum de Memphis, découvert et décrit par A. Mariette ...",1857,1857,,French,still image,Prints | Books,37
Panorama d'Egypte et de Nubie.,1841,1841,,French,still image,Prints,37
Genji Monogatari Emaki,1660,1660,,,still image,handscrolls,33
"The thirty-seven nats, a phase of spirit-worship prevailing in Burma, by Sir R. C. Temple. With full-page and other illustrations.",1906,1906,,,still image,Books | Illustrations,38
Cabinet card collection,,,,,still image,Photographs,38
Catalogue no. 9. [Manufacturers of glass],19--?,,,,still image,,62
American Music Collection,,,,,notated music,Scores,13
George Washington papers,1694,1694,1932,English,text,Documents,2
"People's Institute records, 1883-1933, bulk (1897-1927)",1883,1883,1933,English,mixed material,Archival materials,1
Chinese water color paintings.,18--,,,,still image,Paintings,40
Maps of South America,,,,,cartographic,Maps,4
Upper Egypt and Ethiopia.,1862,1862,,,still image,Photographs,39
"Egypt : a collection of photographs taken at Cairo, Karnak, Luxor, Philae and other places",18--,,,,still image,Photographs,38
"Cuba and Porto Rico : with the other islands of the West Indies : their topography, climate, flora, products, industries, cities, people, political conditions, etc.",1899,1899,,English,still image,Books | Photographs | Illustrations,38
Sir Leslie Stephen collection of papers,1859,1859,1939,English,text,Manuscripts | Documents | Correspondence | notebooks,4
"Lower Egypt, Thebes and the Pyramids.",1862,1862,,,still image,Photographs,39
Sinai and Palestine.,1862,1862,,English,still image,Photographs,40
"Working with the hands: being a sequel to ""Up from slavery"" covering the author's experiences in industrial training at Tuskegee",1904,1904,,English,still image,Books | Illustrated books,40
"Album of photographs of Burma, India and Egypt.","ca. 1889, some photographs later",1889,,,still image,,62
"Voyage d'exploration a la mer Morte, a Petra, et sur la rive gauche du Jourdain : Atlas.",pref. 1874,1874,,,still image | cartographic,Books | Illustrations | Photogravures | Lithographs | Maps,84
La plante et ses applications ornementales,c. 1896,1896,,,still image,,74
Commercial posters,1895,1895,1917,,still image,Posters,1
Voyage de l'Arabie Pétrée par Léon de Laborde et Linant.,1830,1830,,,still image,Lithographs,74
"Puteshestvie po vostochnoi Sibiri I. Bulychova. Ch. 1. IAkutskaia oblast, Okhotskii krai.",1856,1856,,,still image,,62
Au sud de l'Afrique. Avec 150 dessins et croquis de l'auteur,1897,1897,,,still image,,74
"Letters: 1821-1847, in the Music Division of the New York Public Library",1821,1821,1847,German,text,Correspondence,28
"The great West illustrated in a series of photographic views  across the continent taken along the line of the Union Pacific Railroad west from Omaha, Nebraska.",1869,1869,,,still image,Albumen prints,59
A second series of the Monuments of Nineveh; including bas-reliefs from the palace of Sennacherib and bronzes from the ruins of Nimroud.,1853,1853,,,still image,,73
Maps of Europe,,,,,cartographic,Maps,39
"Collection of views of Egypt, including Cairo and the pyramids.",188-189-,,,,still image,Albumen prints,58
"Views in the Ottoman Dominions, in Europe, in Asia, and some of the Mediterranean islands, from the original drawings taken for Sir Robert Ainslie, by Luigi Mayer.",1810,1810,,,still image,,73
"Nouveaux livre d'ornments, pour l'utillitée des sculpteurs, et orfeures ...",,,,,three dimensional object,Engravings,72
"Fables, ancient and modern. Adapted for the use of children. By Edward Baldwin, Esq. ... Second edition.",1807,1807,,,,,72
Window cards,,,,,still image,Window cards | Prints,2
"The Holy Bible, containing the Old and New Testaments... : The Queen's Bible.",1862,1862,1863,,still image,,71
Street scenes,1901,1901,1998,,still image,Photographs,1
La vie et les paysages en Egypte : études en héliotypies tirées d'après nature.,,,,,still image,Collotypes,70
Voyage pittoresque et historique de l'Istrie et Dalmatie.,1802,1802,,,,,1
The American anti-slavery almanac,1836,1836,1844,,still image,,55
Street views of New York City.,1896,1896,,,still image,Gelatin silver prints,1
Views of France,1850,1850,1860,,still image,Photographs,68
Photographs from the American country woman series,,,,,still image | text,,1
Album of photographs of Japan.,187-?-188-?,,,,still image,Albumen prints,67
"Kelly Miller's history of the world war for human rights; being an intensely human and brilliant account of the world war and why and for what purpose America and the allies are fighting and the important part taken by the Negro, including the horrors and wonders of modern warfare, the new and strange devices, etc. ... by Kelly Miller ... illustrated with 128 genuine pictures from recent official photographs, also outline map drawings",1919,1919,,,still image,,67
"Joachimi de Sandrart ... Academia nobilissimæ artis pictoriæ. Sive D¯e veris & genuinis hujusdem proprietatibus, theorematibus, secretis atque requisitis aliis ... instructio fundamentalis ... : Unà cum artificum tam Ægyptiorum, Græcorum & Romanorum; quàm Italorum, Gallorum, Anglorum, Germanorum, Belgarum, aliorumq[ue] ... vitis atque encomiis ... eorundemque, plusquàm ducentis iconibus ... ære expressis, erecta atq[ue] publicata.",1683,1683,,,still image,Engravings,67
"Photographs of World War I battlefields, captured German installations and allied installations.",1917,1917,1918,,still image,Gelatin silver prints,66
Minchô shiken (The Colored Inkstone of the Ming Period).,1746,1746,,,,,65
"Etchings of rustic figures, for the embellishment of landscape.",1819,1819,,,still image,Etchings,60
"Palestine and Egypt, March 1894",1894,1894,,,still image,Albumen prints,65
"Jerusalem explored, being a description of the ancient and modern city, with numerous illustrations consisting of views ground plans, and sections, by Ermete Pierotti. Tr. by Thomas George Bonney.",1864,1864,,,still image,Lithographs,64
John H. Levine Collection,,,,,,,60
The history of the Negro church.,1921,1921,,,still image,Halftone photomechanical prints,60
"The natural history of Washington territory and Oregon, with much relating to Minnesota, Nebraska, Kansas, Utah, and California ... being those parts of the final reports on the survey of the Northern Pacific Railroad route, relating to the natural history of the regions explored ...",1860,1860,,,,Engravings,60
Art and Artifacts Division. Painting & sculpture collection.,1800,1800,1990,,still image | three dimensional object,works of art | Paintings | Sculpture,4
Prints depicting dance,,,,,still image,Prints,1648
William Williams papers,,,,,text | still image,,52
"Album of photographs showing construction of the cable road on Broadway, New York City, in 1891.",1891,1891,,,still image,Albumen prints,56
Slavery.,1857,1857,1997,,still image,Photographs,4
Tōkaido gojūsan tsugi no uchi,1832,1832,,,still image,Prints,55
Villas on the Hudson : a collection of photo-lithographs of thirty-one country residences.,1860,1860,,,still image,Photolithographs,55
"Itineraire pittoresque du fleuve Hudson et des parties laterales de l'Amerique du Nord, d'apres les dessins originaux pris sur les lieux. Atlas.",1828,1828,,,still image,Lithograph,55
[Xanten Bible.],1294,1294,,,,,54
Albert Sterner : prints and drawings,1880,1880,1946,,still image,Prints | Drawings | Lithographs,62
"The mordant dyestuffs of the farbenfabriken vorm. Friedr. Bayer & Co., Elberfeld, and their application to printing and dyeing.",1902,1902,,,,,52
"México y sus alrededores. Coleccion de vistas monumentales, paisajes y trajes del pais. Dibujados al natural y litografiados por los artistas mexicanos C. Castro, G. Rodriguez é J. Campillo. Bajo la direccion de V. Debray. Los articulos descriptivos son de los señores d. Marcos Arronis, d. Jose T. de Cuellar [y otros] ...",1869,1869,,Spanish | French,still image | cartographic,Chromolithographs | Cityscapes,52
"Photographs showing landscapes, geological and other features of portions of the western territory of the United States, obtained in connection with geographical and geological explorations and surveys west of the 100th meridian,...1871, 1872 and 1873.",1871,1871,1873,,still image,Albumen prints,49
"Picturesque representations of the dress and manners of the English. Illustrated in fifty coloured engravings, with descriptions.",1814,1814,,,still image,Aquatints -- Hand-colored,51
Patricia Cornwell collection,1841,1841,1999,English,text | still image,Autographs | Photographs | Correspondence | Documents,4
Cabinet Card Collection,,,,,,Photographs | Cabinet photographs,3
Jerome Robbins Dance Division program files,,,,,,,1
Kindred Spirits,1849,1849,,,still image,Oil paintings,1
Philippine costumes.,1841,1841,,,still image,Scrapbooks | Prints,17
Il Palazzo ducale di Venezia,1853,1853,1861,Italian,text | still image,Books,1
Specimens of polyautography.,,,,,,,2
Margaret Nicholson manuscript material,1786,1786,1794,English,text,Manuscripts | Archival materials | Correspondence | Poetry,1
New Yorker Staats-Zeitung und Herold,1853,1853,,German,text | still image,Periodicals | Newspapers,1
"Iconografía de gobernantes de la Nueva España; tomada de la colección que se conserva en el Salón de cabildos del Palacio municipal de la cibdad de México. Publicase por acuerdo del honorable Ayuntamiento, siendo presidente de éste, el señor don Herminio Pérez Abreu.",1921,1921,,,,,1
Photographs of American Indians,1898,1898,,,still image,Photographs,27
"Album of photographs of Pakistan, Egypt, and European locations",187-?-1919,1919,,,still image,Photographs,37
Collier's,1898,1898,1957,English,text | still image,Periodicals | Illustrated periodicals,7
"Views in Palestine, from the original drawings of Luigi Mayer...  Vues en Palestine, d'apres les dessins originaux de Luigi Mayer.",1804,1804,,,still image,,25
The beat generation cook book: illustrated,1961,1961,,English,text | still image,Pamphlets,2
Home and flowers: An illustrated monthly magazine devoted to the home beautiful,1900,1900,1906,English,still image | text,Periodicals,1
Albert Tracy papers,1843,1843,1893,English,text | still image,Diaries | Sketchbooks,4
"Ralph Waldo Emerson Collection of Papers 1821-1912, bulk (1837-1882)",1821,1821,1912,,text,Archival materials,180
"Nathaniel Hawthorne collection of papers, 1694-1931 bulk (1817-1864)",1694,1694,1931,,text,,419
Indian sign talk,1893,1893,,English | Sign languages,still image | text,Books | foreign-language dictionaries | picture dictionaries,3
"Collection of 18th century manuscript music, ca. 1730-1750",1730,1730,1750,,notated music,,1
Opportunity: journal of negro life,1923,1923,1949,,text,Periodicals,1
William Hogarth: prints,,,,,still image,Prints,452
The Road to the temple of Honour and Fame: an instructive and entertaining game.,1811,1811,,English,three dimensional object | text,Board games,3
"English line writing: a new, simple, and exact system of phonetics",1839,1839,1899,English,still image | text,instructional materials | sign and symbol handbooks,1
Alfred Williams Anthony collection,1679,1679,1944,English,text,autographs,1
"Expressions des plus exquis sentimens de nos grisettes. Recueillies et dessinées d'après nature, par Scheffer ...",1800,1800,1899,French,still image,lithographs,12
Ancona world,1910,1910,1938,English,text,Periodicals,1
"Isaaci Newtoni, equitis aurati, Opuscula mathematica, philosophica et philologica",1744,1744,,Latin,text | still image,Books,1
Traité des fluxions,1749,1749,,French,text | still image,Mathematics | treatises,1
Claire Clairmont manuscript material,1814,1814,1879,English,text,,1
Paul et Virginie,1806,1806,,French,still image | text,Literature | novels | illustrated books,1
The enormous room,1922,1922,,English,text,Books,1
Architecture,1900,1900,1936,English,text | still image,Periodicals,12
Billy Rose Theatre Division posters,,,,,still image,Posters,5
"Vancenza, or The dangers of credulity",1810,1810,,English,text,"Gothic fiction (Literary genre), English",1
Frank H. Pierce papers relating to the U.S.S. Monitor,1862,1862,1900,English,text,muster rolls | Scrapbooks,1
"La relacion que dio Aluar nuñez cabeça de vaca de lo acaescido enlas Jndias enla armada donde yua por gouernador Pãphilo de narbaez, desde el año de veynte y siete hasta el año d'treynta y seys que boluio a Seuilla con tres de su compañia.",1542,1542,,Spanish,text,Books,1
The book of hours of the Emperor Maximilian the First. Decorated by Albrecht Dürer ... and other artists [and] printed in 1513 by Johannes Schoensperger at Augsburg. Edited and with a detailed commentary by Walter L. Strauss,1974,1974,,Latin | English,text | still image,Reproduction,1
Randzeichnungen zu Goethe's Balladen und Romanzen,1829,1829,1839,,,Illustrations,1
Leaves of grass,1860,1860,,English,text,Books,2
The penny magazine of the society for the diffusion of useful knowledge,1832,1832,1845,English,text | still image,Periodicals,1
The waste land,1922,1922,,English,text,Poetry,1
"Free, and other stories",1918,1918,,English,,Books,2
Cosmographiae Introdvctio / Cvm Qvibvsdam / Geometriae / Ac / Astrono / miae Principiis / Ad Eam Dem [sic] Necessariis. / Insuper quatuor Americi Vespucii / nauigationes.,1517,1517,,Latin,still image,Engraving,3
Sir Walter Scott collection of papers 1796-1931 bulk (1797-1837),1796,1796,1931,,text | still image,,4
TheCurtiss Wright-er; about the Buffalo plant production soldiers.,1941,1941,1945,English,text | still image,Periodicals,2
Eleanora Mendelssohn papers,1880,1880,1949,German | English | Italian | French,still image | text,Photographic prints | Sketches | scripts,1
Overseas woman,1945,1945,1946,English,text | still image,Periodicals,2
National research project on reemployment opportunities and recent changes in industrial techniques.,1937,1937,1940,English,,,1
Documents,1857,1857,1874,,,,1
Marya Freund papers relating to Arnold Schoenberg,1912,1912,1966,,text,Archival materials | Correspondence | Programs | Leaflets | notebooks | Photographs,3
Billy Rose Theatre Division book file,,,,,,,1
Annual report of the American Type Founders' Company,1893,1893,1950,English,,annual reports,2
Lestrente-six vues de la tour Eiffel,1902,1902,,French,,,1
Tracts on Romanism,1800,1800,1899,English,text,Books,1
"The VVhole Booke Of Psalmes Faithfully Translated into English Metre. Whereunto is prefixed a discourse declaring not only the lawfullnes, but also the necessity of the heavenly ordinance of singing Scripture Psalmes in the Churches of God ...",1640,1640,,English,text,Bibles,7
TheHistory of America ...,1778,1778,1779,English,,,4
TheHistory and Antiquities of London.,1814,1814,,,,,1
Chim-Chim; folk stories from Jamaica,1905,1905,,,,,1
Universal Negro Improvement Association miscellaneous collection.,1918,1918,1948,,mixed material,,1
"Thegreat ""trunk mystery"" of New York City; murder of the beautiful Miss Alice A. Bowlsby, of Paterson, N.J. ...",1872,1872,,English,,,2
General Collection,,,,,moving image,Filmed dance | Motion pictures | Video recording | moving images,6
Miscellaneous manuscripts,,,,,,,1
"Trow business directory of the boroughs of Manhattan and the Bronx, city of New York",1848,1848,1909,English,text,Directories,2
Sefer Lida,1970,1970,,Hebrew,text,Memorial books (Holocaust),1
Jewish American Cookbooks,,,,,text,Community cookbooks,6
Loie Fuller papers,1892,1892,1913,,,autobiography | writings,1
The whirlpool,1897,1897,,English,text,Books,1
Thehouse in good taste.,1913,1913,,English,,,1
Theart of drawings on stone...,1824,1824,,,,,1
Daphnis et Chloé,1890,1890,,French,,,1
ThePrinter's helper,1929,1929,1952,English,,Periodicals,1
A specimen of printing types,1785,1785,,English,still image,type specimens | specimens,4
"Wiener strassenbilder im zeitalter des rokoko; die wiener ansichten von Schütz, Ziegler, Janscha 1779-1798; beschreibendes verzeichnis, eingeleitet und bearbeitet von Dr. Ignaz Schwarz; mit einem prolog von Rudolf Hans Bartsch ...",1914,1914,,,,,1
R. H. Burnside collection,1905,1905,1952,,text | still image,Archival materials,774
Illustrated Sporting News,1903,1903,1906,,text | still image,Periodicals,3
"Robert Southey collection of papers, 1793-1959 bulk (1798-1839).",1793,1793,1959,English,text,Correspondence | Manuscripts,1
"Memoirs of Zehir-Ed-Din Muhammed Baber, emperor of Hindustan",1826,1826,,English,text | cartographic,memoirs,1
"A brief historical sketch of the life and sufferings of Leonard Trask, the wonderful invalid.",1858,1858,,English,text,Pamphlets,1
"American railway guide, and pocket companion, for the United States",1850,1850,1856,English,text | still image,guides,3
Annual report of the board of directors to the bondholders & stockholders,1880,1880,1895,,,,1
Bacon cipher collection,1893,1893,1948,English,text | still image,Documents,5
Zur Fauna der Vorwelt ...,1845,1845,,,text | still image,Illustrations | Prints,1
Plastering industries.,1938,1938,1969,,text | still image,Periodicals,3
"sparke of frendship and warme goodwill, that shewes the effect of true affection and vnfoldes the finenesse of this world: vvhereunto is joined, the commoditie of sundrie sciences, the benefit that paper bringeth, with many rare matters rehearsed in the same : with a description & commendation of a paper mill, now and of late set vp (neere the towne of Darthford) by an high Germayn called M. Spilman, Ieweller to the Qu. most excellent Maiestie",1588,1588,,,,,1
Miscellaneous exhibit items-Music division,,,,,,,5
Miscellaneous Exhibit items_GRD,,,,,,,3
Collection of World War I photographs issued by the Division of Pictures of the Committee on Public Information of the United States.\nCollection of World War I photographs issued by the Division of Pictures of the Committee on Public Information of the United States.,1917,1917,1918,,still image,Photographs,13
Miscellaneous Exhibits Schomburg items,,,,,,,2
Miscellaneous Exhibit Items- Prints,,,,,,,1
Miscellaneous Exhibits- Picture Collection items,,,,,,,6
Miscellaneous Non NYPL Exhibit Items,,,,,,,2
Miscellaneous Rare Books Exhibit Items,,,,,,,10
"Howard University, the capstone of Negro education, a history: 1867-1940",1941,1941,,,text,,1
Leopere complete.,1939-,1939,,Latin,,,1
Petri Apiani Cosmographia,1539,1539,,Latin,,,1
"Plain truth: or, Serious considerations on the present state of the city of Philadelphia, and province of Pennsylvania.",1937,1937,,English,,,1
Monumentos Guadalupanos,1500,1500,1900,Spanish,text,Engravings (prints) | Sermons.,1
Tom Wolfe papers,1930,1930,2013,English,text | still image | sound recording,Archival materials,1
Dissertation sur le papyrus,1759,1759,,French,,Specimens,1
"cuisinier moderne: qui apprend à donner toutes sortes de repas, en gras & en maigre, d'une manière plus délicate que ce qui en a été écrit jusqu'à présent : divisé en cinq volumes, avec de nouveaux modéles de vaisselle, & des desseins de table dans le grand goût d'aujourd'hui, gravez en taille-douce : dedié a Son Altesse Serenissime Monseigneur le Prince d'Orange et de Nassau, &c",1742,1742,,French,,,1
Thomas Love Peacock manuscript material,,,,,mixed material,,1
Hilda Simms photograph collection.,,,,,,,1
Broadside ballads.,1790,1790,1840,,,,1
"Expostulatory letter to George Washington, of Mount Vernon, on his continuing to be a holder of slaves.",1797,1797,,,,Controversial literature,1
Dian shi zhai hua bao,1884,1884,1898,,,,1
New York Polyanthos,1841,1841,,English,text,Newspapers,2
Central and Eastern European Planning Board records,1942,1942,1945,,still image,,5
The Hotel monthly,1893,1893,1962,English,text | still image,Periodicals,4
Stead Collection,1672,1672,1932,,still image | text,Clippings | Prints | Programs | Correspondence,1
Automobile digest and register,1915,1915,1918,English,text,Registers,7
"Commissioners' plan of Manhattan Island and report with related materials, 1811, 1935-1936",1811,1811,,,cartographic,Maps,1
TheInner Life,1931,1931,1938,,text,Periodicals,3
Tovey's official brewers' and maltsters' directory of the United States and Canada,1899,1899,1918,English,,Directories,10
"Brewers' guide for the United States, Canada and Mexico containing complete lists of brewers, maltsters and kindred trades",1896,1896,1898,English,text,Books | Directories,2
L'eloge de la folie,1728,1728,,French,text | still image,Books,1
Uocabulario / en lengua de / Mechua / can,1559,1559,,Central American Indian (Other) | Spanish,text,Dictionaries,1
"Ambassades mémorables de la Compagnie des Indes Orientales des Provinces Unies, vers les empereurs du Japon: Contenant plusieurs choses remarquables ... et deplus, la description des villes, bourgs, châteaux, forteresses, temples & autres bâtimens: des animaux, des plantes, montagnes, rivières, fonteines; des moeurs, coutumes, religions & habillemens des Japonois: ... Le tout enrichi de figures dessinées sur les lieux",1680,1680,,French | Dutch,still image,,1
Works Progress Administration (WPA) Art,1935,1935,1943,,still image,Prints,95
TheFeathered world,1889,1889,1939,English,text | still image,Periodicals,2
"Bradstreet's book of commercial ratings of bankers, merchants, manufacturers, etc., in the United States and the Dominion of Canada",1857,1857,1933,English,text,Directories,2
"Cleveland, Akron & Columbus Railway Company. Annual report of the president and directors to the stockholders",1886,1886,1910,English,text,,1
N.C.C.S,1945,1945,1946,,text,,1
Telegraph and telephone age,1893,1893,1953,English,text,Periodicals,1
"general history of China. Containing a geographical, historical, chronological, political and physical description of the empire of China, Chinese-Tartary, Corea, and Thibet. Including an exact and particular account of their customs, manners, ceremonies, religion, arts and sciences",1741,1741,,English | French,text | still image,Books,1
Charles Lamb collection of papers,1797,1797,1934,English,text,Manuscripts | Correspondence,1
A serious comedy for trivial people,1894,1894,,English,text,drama | plays | Manuscripts,3
Free Circulating Libraries records,1880,1880,1905,,text | still image,,1
"Maps used by General Butterfield on the battlefields of the Civil War, 1861-1865",1861,1861,1865,,cartographic,Maps | Manuscript maps.,3
Soldados de la memoria: Imágenes y hombres de la Guerra del Paraguay,2000,2000,,Spanish,still image | text,Books | Pictorial works,1
Who's who among the colored Baptists of the United States. Vol. 1,1913,1913,,,text,,1
American student of art,1906,1906,,English,still image,,5
"Photographic facsimiles of the remains of the Epistles of Clement of Rome, made from the unique copy preserved in the Codex alexandrinus",1856,1856,,English,still image,Facsimiles,1
Thejungle book,1894,1894,,English,,,2
Thesecond jungle book,1895,1895,,English,,,2
William Sawrey Gilpin Prints,,,,,still image,Prints,5
"Charivari: direction Politique, Litteraire et Artistique",1832,1832,1915,French,still image,Periodicals | French periodicals,2
Die Locomotive,1853,1853,1854,,text,Periodicals,2
Souvenir album of China: including four hundred and fifty original photographs,1908,1908,,English,still image,Pictorial works,3
"Montezuma, the serf; or, The revolt of the Mexitili: the tale of the last days of the Aztec dynasty",1845,1845,,English,text,,1
war between the United States and Mexico illustrated: embracing pictorial drawings of all the principal conflicts,1851,1851,,English,text,Pictorial works,1
Destableaux graphiques et des cartes figuratives,1861,1861,,French,still image,Statistics,1
Queen's empire: a pictorial and descriptive record illustrated from photographs,1897,1897,,English,text,Pictorial works,1
Emily Dickinson. 2 A.L.S. to Benjamin Kimball,1885,1885,,,text,,2
Pictorial times,1843,1843,1848,English,still image | text,Periodicals | Illustrated periodicals,1
American Society of American Magicians Monthly,,,,,,,1
"The paradise of childhood: a manual for self-instruction in Friedrich Froebel's educational principles, and a practical guide to kinder-gartners",1869,1869,,English,text | still image,"Handbooks, manuals, etc.",1
The Green Book,1936,1936,1967,English,text,Guidebooks,21
Emily Fowler Ford papers,1744,1744,1893,English,text | still image,diaries | Photographs | poems | Scrapbooks | Correspondence,1
Pratt Institute monthly,1892,1892,1904,English,,Periodicals,1
war between the United States and Mexico illustrated: embracing pictorial drawings of all the principal conflicts,1851,1851,,English,text,,1
Elements of phrenology,1835,1835,,English,text,Book illustrations,1
Cherokee advocate,1844,1844,1906,English | Cherokee,text,Periodicals | Newspapers,1
Peter Joseph Krahe: Leben und Werk,1969-,1969,,,text,Books,2
Collection of decorative engravings by Remondini,1750,1750,,,still image,Prints,1
Thom's official directory of the United Kingdom of Great Britain and Ireland,1881,1881,1926,English,text | cartographic,Directories,1
American cloak and suit review,1912,1912,1937,English,text,Periodicals | Reviews,1
Troe,1913,1913,,Russian,text | still image | notated music,Books | Poetry | Prose,1
Philosophiae naturalis principia mathematica,1687,1687,,Latin,text,Rare books,1
Elizabeth Barrett Browning collection of papers 1764-[1973] bulk (1812-1883).,1764,1764,1973,English,text | still image,Archival materials,5
Johannis Henrici Alstedii Encyclopaedia septem tomis distincta...,1630,1630,,,text,Books | Encyclopedias,2
Material culture collection,,,,,,,4
Cours de physique purement expérimentale à l'usage des gens du monde,1859,1859,,French,text | still image,Books | Technical illustrations,1
"The true history of the ghost, and all about metempsychosis",1890,1890,,English,text | still image,,1
The secrets of stage conjuring,1881,1881,,English | French,text | still image,,2
Billy Rose Theatre Division periodicals file,,,,,,,6
Stories from the Pentamerone,1911,1911,,English,text,Illustrated books,1
Schomburg Menu Collection,1893,1893,2000,,text,Menus,16
"Breve, e succinta relazione del viaggio nel regno di Congo nell' Africa Meridionale",1727,1727,,Italian,text,,1
"Istorica descrittione de' tre regni Congo, Matamba, et Angola: sitvati nell'Etiopia inferiore occidentale e delle missioni apostoliche esercitateui da religiosi Capuccini",1690,1690,,Italian,text,Rare books | Travel books,1
The American photo-engraver,1908,1908,1964,English,text,Periodicals,4
