Demographic,Borough,Cohort,Total Cohort,Total Grads,Total Regents,Advanced Regents,Regents w/o Advanced ,Local,Still Enrolled,Dropped Out
English Proficient Students,Staten Island,2003,4017,2738,2123,878,1245,615,846,338
Special Education,Bronx,2003,2273,362,60,8,52,302,1022,593
Special Education,Brooklyn,2003,2796,469,118,30,88,351,1417,650
Special Education,Manhattan,2003,1503,281,90,18,72,191,728,333
Special Education,Queens,2003,1782,343,72,8,64,271,900,379
Special Education,Staten Island,2003,636,174,52,8,44,122,308,88
General Education,Bronx,2003,11359,6027,3801,1247,2554,2226,3236,1879
General Education,Brooklyn,2003,18538,10595,7593,3209,4384,3002,5154,2548
General Education,Manhattan,2003,12376,7332,5409,2509,2900,1923,3512,1396
General Education,Queens,2003,16633,10112,7845,3387,4458,2267,3969,2339
General Education,Staten Island,2003,3582,2638,2117,875,1242,521,611,286
Asian,Bronx,2003,672,552,487,382,105,65,82,35
Asian,Brooklyn,2003,2688,1862,1665,1114,551,197,537,274
Asian,Manhattan,2003,1666,1296,1168,875,293,128,279,79
Asian,Queens,2003,4745,3335,2895,1701,1194,440,907,467
Asian,Staten Island,2003,362,302,261,152,109,41,39,18
Black,Bronx,2003,4572,2186,1250,228,1022,936,1461,737
Black,Brooklyn,2003,10350,4958,2942,730,2212,2016,3668,1410
Black,Manhattan,2003,3994,1917,1233,367,866,684,1436,513
Black,Queens,2003,5053,2561,1652,398,1254,909,1558,787
Black,Staten Island,2003,739,396,260,59,201,136,239,72
Hispanic,Bronx,2003,7583,3131,1708,380,1328,1423,2548,1598
Hispanic,Brooklyn,2003,4876,2055,1216,422,794,839,1700,993
Hispanic,Manhattan,2003,6613,3126,1968,605,1363,1158,2285,1053
Hispanic,Queens,2003,5870,2709,1855,573,1282,854,1926,1106
Hispanic,Staten Island,2003,760,381,276,84,192,105,251,109
White,Bronx,2003,649,423,351,238,113,72,123,87
White,Brooklyn,2003,3195,2027,1760,908,852,267,615,510
White,Manhattan,2003,1493,1202,1075,665,410,127,207,77
White,Queens,2003,2580,1747,1441,703,738,306,436,341
White,Staten Island,2003,2336,1726,1366,586,780,360,381,171
Female,Bronx,2003,6688,3498,2081,649,1432,1417,1969,1015
Female,Brooklyn,2003,10481,6147,4302,1827,2475,1845,2808,1317
Female,Manhattan,2003,7465,4619,3318,1507,1811,1301,1958,761
Female,Queens,2003,8992,5779,4350,1877,2473,1429,2007,1051
Female,Staten Island,2003,2115,1515,1164,479,685,351,389,162
Male,Bronx,2003,6944,2891,1780,606,1174,1111,2289,1457
Male,Brooklyn,2003,10853,4917,3409,1412,1997,1508,3763,1881
Male,Manhattan,2003,6414,2994,2181,1020,1161,813,2282,968
Male,Queens,2003,9423,4676,3567,1518,2049,1109,2862,1667
Male,Staten Island,2003,2103,1297,1005,404,601,292,530,212
Borough Total,Bronx,2004,14364,7448,4625,1395,3230,2823,4169,2303
Borough Total,Brooklyn,2004,22353,12303,8872,3741,5131,3431,6487,2973
Borough Total,Manhattan,2004,15127,8780,6449,2811,3638,2331,4243,1842
Borough Total,Queens,2004,18725,10922,8450,3604,4846,2472,5001,2505
Borough Total,Staten Island,2004,4142,2788,2220,1029,1191,568,844,381
English Language Learners,Bronx,2004,1894,640,214,27,187,426,711,437
English Language Learners,Brooklyn,2004,2055,730,381,142,239,349,799,447
English Language Learners,Manhattan,2004,1854,698,344,124,220,354,737,351
English Language Learners,Queens,2004,2456,919,537,183,354,382,957,523
English Language Learners,Staten Island,2004,153,36,15,2,13,21,70,38
English Proficient Students,Bronx,2004,12470,6808,4411,1368,3043,2397,3458,1866
English Proficient Students,Brooklyn,2004,20298,11573,8491,3599,4892,3082,5688,2526
English Proficient Students,Manhattan,2004,13273,8082,6105,2687,3418,1977,3506,1491
English Proficient Students,Queens,2004,16269,10003,7913,3421,4492,2090,4044,1982
English Proficient Students,Staten Island,2004,3989,2752,2205,1027,1178,547,774,343
Special Education,Bronx,2004,2388,518,127,15,112,391,947,553
Special Education,Brooklyn,2004,3066,603,185,35,150,418,1323,649
Special Education,Manhattan,2004,1847,454,163,21,142,291,758,418
Special Education,Queens,2004,2099,495,171,28,143,324,908,442
Special Education,Staten Island,2004,712,216,73,12,61,143,256,118
General Education,Bronx,2004,11976,6930,4498,1380,3118,2432,3222,1750
General Education,Brooklyn,2004,19287,11700,8687,3706,4981,3013,5164,2324
General Education,Manhattan,2004,13280,8326,6286,2790,3496,2040,3485,1424
General Education,Queens,2004,16626,10427,8279,3576,4703,2148,4093,2063
General Education,Staten Island,2004,3430,2572,2147,1017,1130,425,588,263
Asian,Bronx,2004,748,624,560,421,139,64,98,23
Asian,Brooklyn,2004,2888,2097,1901,1315,586,196,527,249
Asian,Manhattan,2004,2057,1621,1473,1063,410,148,332,93
Asian,Queens,2004,4773,3394,2944,1740,1204,450,939,407
Asian,Staten Island,2004,368,319,291,178,113,28,37,6
Black,Bronx,2004,4834,2497,1497,267,1230,1000,1462,697
Black,Brooklyn,2004,11070,5733,3641,927,2714,2092,3631,1320
Black,Manhattan,2004,4128,2074,1360,329,1031,714,1401,545
Black,Queens,2004,4949,2578,1708,399,1309,870,1546,701
Black,Staten Island,2004,694,349,247,78,169,102,231,90
Hispanic,Bronx,2004,8009,3810,2146,432,1714,1664,2463,1490
Hispanic,Brooklyn,2004,5170,2332,1485,480,1005,847,1716,973
Hispanic,Manhattan,2004,7276,3747,2382,755,1627,1365,2251,1147
Hispanic,Queens,2004,6424,3199,2340,758,1582,859,2010,1113
Hispanic,Staten Island,2004,829,429,312,85,227,117,258,118
White,Bronx,2004,681,467,388,269,119,79,119,83
White,Brooklyn,2004,3090,2070,1794,1004,790,276,568,416
White,Manhattan,2004,1580,1277,1186,647,539,91,238,53
White,Queens,2004,2397,1651,1387,690,697,264,457,252
White,Staten Island,2004,2243,1686,1366,687,679,320,315,167
Female,Bronx,2004,7085,4091,2552,731,1821,1539,1853,980
Female,Brooklyn,2004,10918,6810,4905,2044,2861,1905,2731,1177
Female,Manhattan,2004,8070,5178,3743,1601,2142,1435,2001,803
Female,Queens,2004,9027,5883,4565,1959,2606,1318,2053,989
Female,Staten Island,2004,2050,1478,1185,568,617,293,363,156
Male,Bronx,2004,7279,3357,2073,664,1409,1284,2316,1323
Male,Brooklyn,2004,11435,5493,3967,1697,2270,1526,3756,1796
Male,Manhattan,2004,7057,3602,2706,1210,1496,896,2242,1039
Male,Queens,2004,9698,5039,3885,1645,2240,1154,2948,1516
Male,Staten Island,2004,2092,1310,1035,461,574,275,481,225
Borough Total,Bronx,2005,15175,8229,5618,1544,4074,2611,3943,2147
Borough Total,Brooklyn,2005,22331,12603,9488,3618,5870,3115,6320,2578
Borough Total,Manhattan,2005,15843,9816,7623,2673,4950,2192,3874,1597
Borough Total,Queens,2005,19511,11863,9290,3618,5672,2573,4435,2435
Borough Total,Staten Island,2005,4460,3098,2467,1059,1408,631,758,362
English Language Learners,Bronx,2005,1940,694,317,53,264,377,685,357
English Language Learners,Brooklyn,2005,2220,864,474,177,297,390,851,409
English Language Learners,Manhattan,2005,1909,815,462,148,314,352,637,365
English Language Learners,Queens,2005,2508,1049,630,202,428,419,827,516
English Language Learners,Staten Island,2005,187,59,25,3,22,34,59,41
English Proficient Students,Bronx,2005,13235,7535,5301,1491,3810,2234,3258,1790
English Proficient Students,Brooklyn,2005,20111,11739,9014,3441,5573,2725,5469,2169
